CUSTOMER	NAME	ITEMS
2	cl-ocp-prod-g8l8j-worker-c289c-MoveTest	1113
2	EG_BUTLER	2880
2	EG_COLLECTOR	4321
2	EG_MONITOR	2880
2	EG_TEMPLATE	720
2	GENERAL_NTNX_VIRTIO_1.1.5	720
2	INTERNO_NUTANIX_MOVE41	720
2	MIGRACION_BINARIOS	720
2	NTNX_MOVE_ADX	2160
2	NTNX_MOVE_CL	4224
2	NTNX_VIRTIO_1.1.6	720
2	PRISMCENTRAL	5760
2	SITWEB-MoveTest	14
2	SITWEBDESA-MoveTest	6
2	SRVFORMACION-MoveTest	8
2	SRVLIMS-MoveTest	146
2	SRVMANTAPP-MoveTest	16
2	SRVUCASP-MoveTest	4
2	SRVWEBCYRAQUAD-MoveTest	8
2	SRVWS-MoveTest	6
2	VMTools	720
2	XCLA_ADX	2160
2	XCLA_CL	2160
3	742_QRadar_QRFULL_2020.7.0.20201113144954.iso	202
3	Advanced authentication 6.3	720
3	BREOIMCLMAAN001	2880
3	BREOIMCLMAAN002	2880
3	KVM-10.0.4.qcow2	720
3	NBUBVG_002a7759-af42-4fe6-bf3b-05b7a42f3d99	3
3	NBUBVG_002d85d6-d71c-4c70-8800-15053476122c	3
3	NBUBVG_005b190a-5017-4924-bc5b-65136d1ade21	6
3	NBUBVG_006e0761-cbbc-4077-a0fc-3a399cfa6e6b	3
3	NBUBVG_0071cb15-8f98-4239-a2bd-1b7bcfb4efd4	3
3	NBUBVG_0078b5d9-1aaf-4bdd-b8fe-d103947e08b9	3
3	NBUBVG_00c49477-397f-4ca8-b5e8-3aa41be4e525	2
3	NBUBVG_00fc7ed8-1065-4bfc-9186-0d19526f85e5	3
3	NBUBVG_00ffd99f-fdf2-4e42-ba3e-708dc7df2256	6
3	NBUBVG_01018823-8c52-4859-baa1-524eb0192a09	2
3	NBUBVG_010d37d0-6d81-4e13-88bc-281e52933c16	3
3	NBUBVG_0140d116-d6d1-4081-8ac8-1da57f1afe41	2
3	NBUBVG_0145f815-dc0d-4116-b4e8-c3d196bb326e	3
3	NBUBVG_01c6a410-2962-40f5-920e-76f3df8d6601	3
3	NBUBVG_01cda19d-5318-4f5e-9413-be33f8d9c885	2
3	NBUBVG_01dc533f-d5e8-43d7-98de-145a84b61c1f	3
3	NBUBVG_01eea81e-dbb6-4185-8a30-a5c038486dce	3
3	NBUBVG_01effa8b-75c1-43d9-be60-820935586f6a	2
3	NBUBVG_02208751-132e-41e0-b54d-cc72a3785cc0	2
3	NBUBVG_022d0311-154d-454f-b40e-a9a8bb2f6d1c	3
3	NBUBVG_026788c4-506e-4a8e-a9d2-39e1e23170cb	5
3	NBUBVG_026a0ab9-fb64-4fea-91b1-2fbc74a1eb9c	3
3	NBUBVG_0295beab-e389-4e72-b3e5-477654f310a9	3
3	NBUBVG_02a4bd20-e494-4e9f-8c12-401d91da55b2	3
3	NBUBVG_02a9bf36-7085-4b01-8b24-ea50b2556dde	2
